Symbol,Name,Market,Trades,Volume,Value,Open,Low,High,Avg.,Close,Ref. price,Var (%)
BENTO,2B Intelligent Soft,XRS1,3,280,1022.4000,3.6200,3.6200,3.7000,3.6600,3.7000,3.7200,-0.54
2P,2PERFORMANT NETWORK,XRS1,24,13219,23619.2100,1.6750,1.6750,1.8200,1.7850,1.8150,1.7000,6.76
AAG,AAGES S.A.,REGS,1,150,543.0000,3.6200,3.6200,3.6200,3.6200,3.6200,3.6400,-0.55
ABN,ABN Systems International,XRS1,12,11440,14527.7350,1.2650,1.2650,1.3200,1.2700,1.3200,1.2700,3.94
ADISS,ADISS,XRS1,7,40750,26187.7000,0.6920,0.6400,0.6920,0.6420,0.6900,0.6960,-0.86
ARS,AEROSTAR S.A.,REGS,13,1188,8823.2000,7.4500,7.3500,7.4500,7.4500,7.3500,7.3000,0.68
AAB,AGROLAND AGRIBUSINESS,XRS1,6,355,1906.5000,5.4200,5.3000,5.4200,5.3800,5.3800,5.4200,-0.74
AG,AGROLAND BUSINESS SYSTEM,XRS1,36,37947,46067.9300,1.2520,1.2000,1.2520,1.2140,1.2260,1.2200,0.49
MILK,AGROSERV MARIUTA,XRS1,21,7423,46084.2800,6.2000,6.1800,6.2600,6.2000,6.2400,6.1200,1.96
AGQR,ALDANI MASTER CAPITAL S.A.,XRS1,1,31,93.6200,3.0200,3.0200,3.0200,3.0200,3.0200,3.0000,0.67
ALR,ALRO S.A.,REGS,16,3370,5499.1000,1.6350,1.6300,1.6350,1.6300,1.6300,1.6100,1.24
ALU,ALUMIL ROM INDUSTRY S.A.,REGS,31,8905,16626.9300,1.8800,1.8500,1.8800,1.8650,1.8600,1.8800,-1.06
ATB,ANTIBIOTICE S.A.,REGS,13,12772,7189.4080,0.5640,0.5600,0.5640,0.5620,0.5640,0.5640,0
AQ,AQUILA PART PROD COM,REGS,31,42152,24352.9660,0.5740,0.5740,0.5800,0.5780,0.5780,0.5800,-0.34
AST,ARCTIC STREAM,XRS1,12,735,16629.9000,22.0000,22.0000,22.9000,22.6000,22.5000,21.6000,4.17
UARG,ARGUS SA Constanta,XRS1,1,100,374.0000,3.7400,3.7400,3.7400,3.7400,3.7400,3.7400,0
ARO,ARO-PALACE SA  BRASOV,XRS1,2,1000,348.0000,0.3480,0.3480,0.3480,0.3480,0.3480,0.3480,0
AROBS,AROBS TRANSILVANIA SOFTWARE,XRS1,68,346909,319909.5850,0.9130,0.9130,0.9270,0.9220,0.9260,0.9130,1.42
TLV,BANCA TRANSILVANIA S.A.,REGS,277,122060,2578347.9500,21.3500,21.0000,21.3500,21.1000,21.1000,21.3000,-0.94
BAYN,BAYER AG.,XRSI,3,5,1418.0000,286.0000,281.0500,286.0000,283.6000,281.0500,278.0000,1.1
BMW,BAYERISCHE MOTOREN WERKE AG,XRSI,1,10,4529.0000,452.9000,452.9000,452.9000,452.9000,452.9000,455.5500,-0.58
BIO,BIOFARM S.A.,REGS,25,14899,9578.5800,0.6460,0.6300,0.6460,0.6420,0.6460,0.6400,0.94
BNET,BITTNET SYSTEMS SA BUCURESTI,REGS,40,250268,74186.7110,0.2950,0.2945,0.2985,0.2965,0.2945,0.2945,0
BONA,BONAS IMPORT EXPORT,XRS1,6,5103,6440.4350,1.2550,1.2550,1.2750,1.2600,1.2700,1.2550,1.2
BRCR,BRAICONF SA BRAILA,XRS1,1,450,148.5000,0.3300,0.3300,0.3300,0.3300,0.3300,0.3400,-2.94
BRD,BRD - GROUPE SOCIETE GENERALE S.A.,REGS,203,31025,429164.6600,13.8800,13.7200,13.9000,13.8400,13.7800,13.8800,-0.72
BVB,BURSA DE VALORI BUCURESTI SA,REGS,128,6965,271108.7000,39.4000,37.6000,39.9000,38.9000,38.5000,39.4000,-2.28
